submission_id,age,arraySizeCondition,comments,completed_text,condition,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,nQuestions,names,options,prolific_session_id,prolific_study_id,question,responseTime,responses,studentsArray,text
3721,28,narrowLong,No comment,All of the students got all of the answers right,0,Graduated College,783539,1665495258365,1665494474826,male,Sepedi,6,Mia|John|Rebecca|Lisa|Lisanne|Nico|Susanne|Julian|Lesly|Jan|Theresa|Marie|Daniel|Johann|Julia|Chris|Thomas|Alex|Amy|Tina,"None,Most,Some,All|most,none,all,some|right,wrong",63456d98ff3dad4af56cf599,6343e5b2bd59a55d555e7544,Describe these results of Riverside so as to make it appear as if there is a <b>low</b> success rate without lying.,35631,All|all|right,6|6|6|6|6|6|6|6|6|6|6,%s of the students got %s of the answers %s
3721,28,narrowLong,No comment,Some of the students got all of the answers wrong,1,Graduated College,783539,1665495258365,1665494474826,male,Sepedi,6,Lisa|Jan|Tim|Alex|Pablo|Marie|Mia|Theresa|Lesly|Amy|Johann|Lisanne|Thomas|Julian|John|Tina|Julia|Susanne|Rebecca|Daniel,"None,Most,Some,All|most,none,all,some|right,wrong",63456d98ff3dad4af56cf599,6343e5b2bd59a55d555e7544,Describe these results of Green Valley so as to make it appear as if there is a <b>high</b> success rate without lying.,30178,Some|all|wrong,1|1|1|1|0|0|0|0|0|0|0,%s of the students got %s of the answers %s
3721,28,narrowLong,No comment,Some of the students got most of the answers right,1,Graduated College,783539,1665495258365,1665494474826,male,Sepedi,6,Mia|Chris|John|Lisanne|Johann|Lisa|Julia|Lesly|Nico|Tim|Pablo|Alex|Marie|Jan|Amy|Julian|Theresa|Thomas|Rebecca|Susanne,"None,Most,Some,All|most,none,all,some|right,wrong",63456d98ff3dad4af56cf599,6343e5b2bd59a55d555e7544,Describe these results of Green Valley so as to make it appear as if there is a <b>high</b> success rate without lying.,23656,Some|most|right,5|5|5|5|0|0|0|0|0|0|0,%s of the students got %s of the answers %s
3721,28,narrowLong,No comment,Most of the students got most of the answers wrong,0,Graduated College,783539,1665495258365,1665494474826,male,Sepedi,6,Chris|Susanne|Pablo|Nico|Johann|Daniel|Tim|Lisanne|Tina|John|Marie|Mia|Theresa|Julian|Thomas|Rebecca|Lesly|Amy|Jan|Julia,"None,Most,Some,All|most,none,all,some|right,wrong",63456d98ff3dad4af56cf599,6343e5b2bd59a55d555e7544,Describe these results of Riverside so as to make it appear as if there is a <b>low</b> success rate without lying.,25392,Most|most|wrong,6|6|6|6|1|1|1|1|1|1|1,%s of the students got %s of the answers %s
3721,28,narrowLong,No comment,Some of the students got most of the answers wrong,0,Graduated College,783539,1665495258365,1665494474826,male,Sepedi,6,Lisanne|John|Daniel|Thomas|Lisa|Nico|Jan|Tina|Marie|Mia|Julia|Theresa|Pablo|Alex|Lesly|Chris|Julian|Rebecca|Susanne|Amy,"None,Most,Some,All|most,none,all,some|right,wrong",63456d98ff3dad4af56cf599,6343e5b2bd59a55d555e7544,Describe these results of Riverside so as to make it appear as if there is a <b>low</b> success rate without lying.,25505,Some|most|wrong,6|6|6|6|5|5|5|1|1|1|1,%s of the students got %s of the answers %s
3721,28,narrowLong,No comment,Some of the students got all of the answers right,1,Graduated College,783539,1665495258365,1665494474826,male,Sepedi,6,Mia|Julia|Nico|Theresa|Lesly|Lisanne|John|Susanne|Tina|Chris|Lisa|Julian|Marie|Pablo|Daniel|Alex|Tim|Amy|Thomas|Rebecca,"None,Most,Some,All|most,none,all,some|right,wrong",63456d98ff3dad4af56cf599,6343e5b2bd59a55d555e7544,Describe these results of Green Valley so as to make it appear as if there is a <b>high</b> success rate without lying.,28502,Some|all|right,6|6|6|6|0|0|0|0|0|0|0,%s of the students got %s of the answers %s
3721,28,narrowLong,No comment,Some of the students got all of the answers wrong,0,Graduated College,783539,1665495258365,1665494474826,male,Sepedi,6,Tina|Rebecca|Lesly|Mia|Tim|Chris|Julia|Daniel|Theresa|John|Amy|Pablo|Julian|Johann|Susanne|Lisanne|Marie|Lisa|Thomas|Alex,"None,Most,Some,All|most,none,all,some|right,wrong",63456d98ff3dad4af56cf599,6343e5b2bd59a55d555e7544,Describe these results of Riverside so as to make it appear as if there is a <b>low</b> success rate without lying.,18985,Some|all|wrong,5|5|5|5|5|5|5|0|0|0|0,%s of the students got %s of the answers %s
3721,28,narrowLong,No comment,Some of the students got all of the answers wrong,0,Graduated College,783539,1665495258365,1665494474826,male,Sepedi,6,Daniel|Tina|Jan|Alex|Julia|Theresa|Lesly|Johann|Pablo|Rebecca|Marie|Nico|Tim|Susanne|John|Lisanne|Mia|Lisa|Chris|Julian,"None,Most,Some,All|most,none,all,some|right,wrong",63456d98ff3dad4af56cf599,6343e5b2bd59a55d555e7544,Describe these results of Riverside so as to make it appear as if there is a <b>low</b> success rate without lying.,9336,Some|all|wrong,6|6|6|6|1|1|1|0|0|0|0,%s of the students got %s of the answers %s
3721,28,narrowLong,No comment,Some of the students got all of the answers wrong,0,Graduated College,783539,1665495258365,1665494474826,male,Sepedi,6,Mia|Nico|Jan|Chris|Susanne|Julian|Thomas|Tim|Lesly|John|Pablo|Lisanne|Tina|Amy|Lisa|Johann|Alex|Rebecca|Julia|Theresa,"None,Most,Some,All|most,none,all,some|right,wrong",63456d98ff3dad4af56cf599,6343e5b2bd59a55d555e7544,Describe these results of Riverside so as to make it appear as if there is a <b>low</b> success rate without lying.,11832,Some|all|wrong,6|6|6|6|6|6|6|0|0|0|0,%s of the students got %s of the answers %s
3721,28,narrowLong,No comment,Some of the students got all of the answers right,1,Graduated College,783539,1665495258365,1665494474826,male,Sepedi,6,John|Pablo|Alex|Julia|Rebecca|Amy|Johann|Jan|Theresa|Tim|Chris|Lisanne|Nico|Susanne|Mia|Julian|Tina|Lesly|Daniel|Thomas,"None,Most,Some,All|most,none,all,some|right,wrong",63456d98ff3dad4af56cf599,6343e5b2bd59a55d555e7544,Describe these results of Green Valley so as to make it appear as if there is a <b>high</b> success rate without lying.,12119,Some|all|right,6|6|6|6|5|5|5|0|0|0|0,%s of the students got %s of the answers %s
3721,28,narrowLong,No comment,Some of the students got most of the answers wrong,0,Graduated College,783539,1665495258365,1665494474826,male,Sepedi,6,Lisa|Julia|Pablo|Amy|Tina|Nico|Thomas|Daniel|Lisanne|Lesly|Jan|Mia|Alex|Rebecca|Chris|Johann|Theresa|Tim|Marie|Julian,"None,Most,Some,All|most,none,all,some|right,wrong",63456d98ff3dad4af56cf599,6343e5b2bd59a55d555e7544,Describe these results of Riverside so as to make it appear as if there is a <b>low</b> success rate without lying.,14967,Some|most|wrong,5|5|5|5|5|5|5|1|1|1|1,%s of the students got %s of the answers %s
3721,28,narrowLong,No comment,Most of the students got most of the answers right,1,Graduated College,783539,1665495258365,1665494474826,male,Sepedi,6,Johann|Chris|Nico|Marie|Julia|Tim|Lisa|Rebecca|Susanne|Alex|Julian|Pablo|Thomas|John|Lesly|Tina|Daniel|Theresa|Amy|Lisanne,"None,Most,Some,All|most,none,all,some|right,wrong",63456d98ff3dad4af56cf599,6343e5b2bd59a55d555e7544,Describe these results of Green Valley so as to make it appear as if there is a <b>high</b> success rate without lying.,14120,Most|most|right,6|6|6|6|5|5|5|5|5|5|5,%s of the students got %s of the answers %s
3721,28,narrowLong,No comment,Some of the students got some of the answers right,1,Graduated College,783539,1665495258365,1665494474826,male,Sepedi,6,Julian|Theresa|Julia|Lesly|Rebecca|Lisa|Tina|Daniel|Thomas|Tim|Marie|Pablo|Amy|Susanne|Nico|Lisanne|Alex|Mia|John|Jan,"None,Most,Some,All|most,none,all,some|right,wrong",63456d98ff3dad4af56cf599,6343e5b2bd59a55d555e7544,Describe these results of Green Valley so as to make it appear as if there is a <b>high</b> success rate without lying.,21833,Some|some|right,1|1|1|1|1|1|1|0|0|0|0,%s of the students got %s of the answers %s
3721,28,narrowLong,No comment,Some of the students got most of the answers right,1,Graduated College,783539,1665495258365,1665494474826,male,Sepedi,6,Chris|Thomas|Johann|Lesly|Theresa|Marie|Mia|Nico|Pablo|Tina|Alex|John|Lisanne|Julia|Amy|Jan|Lisa|Rebecca|Daniel|Julian,"None,Most,Some,All|most,none,all,some|right,wrong",63456d98ff3dad4af56cf599,6343e5b2bd59a55d555e7544,Describe these results of Green Valley so as to make it appear as if there is a <b>high</b> success rate without lying.,12648,Some|most|right,5|5|5|5|1|1|1|0|0|0|0,%s of the students got %s of the answers %s
3721,28,narrowLong,No comment,Most of the students got all of the answers right,1,Graduated College,783539,1665495258365,1665494474826,male,Sepedi,6,Amy|Julian|Alex|Julia|Thomas|Johann|Rebecca|Tim|Lisanne|Lisa|Theresa|Lesly|Susanne|Marie|Jan|Mia|John|Nico|Daniel|Tina,"None,Most,Some,All|most,none,all,some|right,wrong",63456d98ff3dad4af56cf599,6343e5b2bd59a55d555e7544,Describe these results of Green Valley so as to make it appear as if there is a <b>high</b> success rate without lying.,9424,Most|all|right,6|6|6|6|6|6|6|5|5|5|5,%s of the students got %s of the answers %s
