submission_id,age,comments,completed_text,condition,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,nQuestions,names,options,question,responseTime,responses,studentsArray,text
3594,33,very pleased with the survey and it is interesting as well.,Most of the students got most of the answers wrong,0,Graduated High-school,971289,1663165010697,1663164039408,female,English,12,Alex|Thomas|Susanne|Tina|Julian,"Some,None,Most,All|none,most,all,some|wrong,right",Describe these results of Riverside so as to make it appear as if there is a low success rate without lying.,39143,Most|most|wrong,9|9|3|3|3,%s of the students got %s of the answers %s
3594,33,very pleased with the survey and it is interesting as well.,All of the students got all of the answers right,1,Graduated High-school,971289,1663165010697,1663164039408,female,English,12,Tina|Amy|Susanne|Johann|Chris,"Some,None,Most,All|none,most,all,some|wrong,right",Describe these results of Green Valley so as to make it appear as if there is a high success rate without lying.,17364,All|all|right,12|12|12|12|12,%s of the students got %s of the answers %s
3594,33,very pleased with the survey and it is interesting as well.,Most of the students got some of the answers right,1,Graduated High-school,971289,1663165010697,1663164039408,female,English,12,Alex|Rebecca|Chris|Tina|Julian,"Some,None,Most,All|none,most,all,some|wrong,right",Describe these results of Green Valley so as to make it appear as if there is a high success rate without lying.,31600,Most|some|right,9|9|9|0|0,%s of the students got %s of the answers %s
3594,33,very pleased with the survey and it is interesting as well.,All of the students got some of the answers wrong,0,Graduated High-school,971289,1663165010697,1663164039408,female,English,12,Alex|Lisa|Marie|Nico|Chris,"Some,None,Most,All|none,most,all,some|wrong,right",Describe these results of Riverside so as to make it appear as if there is a low success rate without lying.,40665,All|some|wrong,9|9|9|9|9,%s of the students got %s of the answers %s
3594,33,very pleased with the survey and it is interesting as well.,Most of the students got most of the answers wrong,0,Graduated High-school,971289,1663165010697,1663164039408,female,English,12,Nico|Amy|Tina|Lisa|Mia,"Some,None,Most,All|none,most,all,some|wrong,right",Describe these results of Riverside so as to make it appear as if there is a low success rate without lying.,46999,Most|most|wrong,12|12|0|0|0,%s of the students got %s of the answers %s
3594,33,very pleased with the survey and it is interesting as well.,Most of the students got some of the answers right,1,Graduated High-school,971289,1663165010697,1663164039408,female,English,12,Daniel|Amy|Lisa|Lisanne|John,"Some,None,Most,All|none,most,all,some|wrong,right",Describe these results of Green Valley so as to make it appear as if there is a high success rate without lying.,40481,Most|some|right,12|12|9|0|0,%s of the students got %s of the answers %s
3594,33,very pleased with the survey and it is interesting as well.,All of the students got most of the answers right,1,Graduated High-school,971289,1663165010697,1663164039408,female,English,12,Lesly|John|Julia|Tim|Lisanne,"Some,None,Most,All|none,most,all,some|wrong,right",Describe these results of Green Valley so as to make it appear as if there is a high success rate without lying.,15584,All|most|right,12|12|9|9|9,%s of the students got %s of the answers %s
3594,33,very pleased with the survey and it is interesting as well.,All of the students got some of the answers right,1,Graduated High-school,971289,1663165010697,1663164039408,female,English,12,Mia|Julia|John|Daniel|Chris,"Some,None,Most,All|none,most,all,some|wrong,right",Describe these results of Green Valley so as to make it appear as if there is a high success rate without lying.,37164,All|some|right,3|3|3|3|3,%s of the students got %s of the answers %s
3594,33,very pleased with the survey and it is interesting as well.,Some of the students got some of the answers wrong,0,Graduated High-school,971289,1663165010697,1663164039408,female,English,12,Alex|Lisa|Amy|Tina|Chris,"Some,None,Most,All|none,most,all,some|wrong,right",Describe these results of Riverside so as to make it appear as if there is a low success rate without lying.,28247,Some|some|wrong,12|12|12|3|3,%s of the students got %s of the answers %s
3594,33,very pleased with the survey and it is interesting as well.,Most of the students got most of the answers right,1,Graduated High-school,971289,1663165010697,1663164039408,female,English,12,Tim|Tina|Mia|Rebecca|Marie,"Some,None,Most,All|none,most,all,some|wrong,right",Describe these results of Green Valley so as to make it appear as if there is a high success rate without lying.,29698,Most|most|right,12|12|9|3|3,%s of the students got %s of the answers %s
